ticket_id,description,timestamp,category
1,software crashed urgent help needed,2025-07-01 09:00:00,Software
2,password reset needed,2025-07-01 10:15:00,Account
3,server down critical issue,2025-07-01 11:30:00,Server
4,need help with login,2025-07-02 08:45:00,Account
5,app not working error 404,2025-07-02 12:00:00,Software
6,billing issue please resolve,2025-07-02 14:20:00,Billing
7,urgent database access denied,2025-07-03 09:10:00,Database
8,feature request add dark mode,2025-07-03 10:00:00,Feature
9,app freezing on startup,2025-07-03 11:45:00,Software
10,payment not processed,2025-07-04 13:00:00,Billing
11,critical error in checkout,2025-07-04 15:30:00,Software
12,need assistance with setup,2025-07-05 09:30:00,Account
13,server timeout urgent,2025-07-05 11:00:00,Server
14,login page not loading,2025-07-06 10:15:00,Account
15,app crashed during update,2025-07-06 12:45:00,Software
16,billing query overcharged,2025-07-07 08:00:00,Billing
17,vpn connection failed,2025-07-07 09:20:00,Network
18,urgent data loss issue,2025-07-08 10:30:00,Database
19,feature not working as expected,2025-07-08 14:00:00,Software
20,help with account recovery,2025-07-09 11:10:00,Account
21,server maintenance required,2025-07-09 13:45:00,Server
22,software update failed,2025-07-09 15:20:00,Software
23,incorrect billing amount,2025-07-10 09:00:00,Billing
24,feature request export data option,2025-07-10 10:30:00,Feature
25,database query running slow,2025-07-10 12:15:00,Database
26,unable to access account,2025-07-11 08:50:00,Account
27,app crashes on specific page,2025-07-11 11:00:00,Software
28,network latency issue,2025-07-11 14:10:00,Network
29,payment gateway error,2025-07-12 09:25:00,Billing
30,server reboot needed,2025-07-12 12:40:00,Server
31,login credentials not working,2025-07-12 15:00:00,Account
32,software bug incorrect data display,2025-07-13 10:00:00,Software
33,feature request multiuser support,2025-07-13 11:30:00,Feature
34,database backup failed,2025-07-13 13:45:00,Database
35,billing dispute refund request,2025-07-14 08:20:00,Billing
36,app not syncing with server,2025-07-14 10:50:00,Software
37,network connection unstable,2025-07-14 12:00:00,Network
38,account verification issue,2025-07-15 09:15:00,Account
39,server overload slow response,2025-07-15 11:30:00,Server
40,software error missing files,2025-07-15 14:45:00,Software
41,feature request custom notifications,2025-07-16 08:30:00,Feature
42,database access timeout,2025-07-16 10:20:00,Database
43,billing issue double charge,2025-07-16 12:10:00,Billing
44,app crashes during export,2025-07-17 09:40:00,Software
45,network firewall blocking access,2025-07-17 11:50:00,Network
46,account locked after failed attempts,2025-07-17 14:00:00,Account
47,server maintenance schedule needed,2025-07-18 08:15:00,Server
